Ranking,Puntaje_mat,PTJE_NEM,PROMEDIO_NOTAS,GENERO,TIPO_ESTABLECIMIENTO,Comuna_alumno,Univ,INGRESO_PERCAPITA_GRUPO_FA,Id_alumno,AÑO_ADMISION,ID_nuevo,Iniciales
2,842.0,636,5.73,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,2,id_5492554279254,2026,6493,UAI
1,842.0,928,6.75,FEMENINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,9,id_5492554279273,2026,6494,UCH
1,975.0,856,6.5,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,9,id_5492554479241,2026,6495,PUC
2,975.0,856,6.5,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,9,id_5492554479241,2026,6495,UCH
3,975.0,856,6.5,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE LOS ANDES,9,id_5492554479241,2026,6495,UANDES
4,975.0,856,6.5,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,9,id_5492554479241,2026,6495,UAI
1,824.0,886,6.6,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE LOS ANDES,10,id_5492554479254,2026,6496,UANDES
2,824.0,886,6.6,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,10,id_5492554479254,2026,6496,UAI
1,793.0,799,6.3,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,10,id_5492554579249,2026,6497,UCH
2,793.0,799,6.3,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,10,id_5492554579249,2026,6497,PUC
3,793.0,799,6.3,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DEL DESARROLLO,10,id_5492554579249,2026,6497,UDD
1,880.0,856,6.5,MASCULINO,PARTICULAR SUBVENCIONADO,OTRA REGION,UNIVERSIDAD ADOLFO IBAÑEZ,5,id_5492554579293,2026,6498,UAI
1,975.0,914,6.7,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,10,id_5492554579298,2026,6499,PUC
1,975.0,842,6.45,MASCULINO,MUNICIPAL,OTRA REGION,UNIVERSIDAD DE CHILE,1,id_5492554779275,2026,6500,UCH
1,539.0,685,5.9,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,7,id_5492554879204,2026,6501,UCH
2,539.0,685,5.9,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,7,id_5492554879204,2026,6501,PUC
3,539.0,685,5.9,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,7,id_5492554879204,2026,6501,UAI
1,807.0,900,6.65,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,99,id_5492554879213,2026,6502,PUC
2,807.0,900,6.65,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,99,id_5492554879213,2026,6502,UCH
3,807.0,900,6.65,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE LOS ANDES,99,id_5492554879213,2026,6502,UANDES
1,587.0,599,5.6,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,6,id_5492554879284,2026,6503,UCH
