Ranking,Puntaje_mat,PTJE_NEM,PROMEDIO_NOTAS,GENERO,TIPO_ESTABLECIMIENTO,Comuna_alumno,Univ,INGRESO_PERCAPITA_GRUPO_FA,Id_alumno,AÑO_ADMISION,ID_nuevo,Iniciales
1,807.0,613,5.65,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,10,id_5490554279016,2026,6442,UAI
2,807.0,613,5.65,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,10,id_5490554279016,2026,6442,UCH
1,723.0,636,5.73,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,99,id_5490554279065,2026,6443,UCH
1,900.0,942,6.8,FEMENINO,PARTICULAR PAGADO,OTRA REGION,UNIVERSIDAD ADOLFO IBAÑEZ,99,id_5490554279073,2026,6444,UAI
1,923.0,680,5.88,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,10,id_5490554379006,2026,6445,UCH
2,923.0,680,5.88,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,10,id_5490554379006,2026,6445,UAI
1,824.0,842,6.45,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,99,id_5490554379043,2026,6446,UAI
1,595.0,643,5.75,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,8,id_5490554379053,2026,6447,UCH
2,595.0,643,5.75,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,8,id_5490554379053,2026,6447,PUC
1,842.0,594,5.58,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,2,id_5490554479002,2026,6448,UCH
2,842.0,594,5.58,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,2,id_5490554479002,2026,6448,PUC
3,842.0,594,5.58,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,2,id_5490554479002,2026,6448,USM
1,486.0,623,5.68,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,5,id_5490554479014,2026,6449,UCH
1,1000.0,914,6.7,MASCULINO,PARTICULAR PAGADO,OTRA REGION,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,99,id_5490554479036,2026,6450,PUC
2,1000.0,914,6.7,MASCULINO,PARTICULAR PAGADO,OTRA REGION,UNIVERSIDAD DE CHILE,99,id_5490554479036,2026,6450,UCH
1,880.0,771,6.2,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,10,id_5490554479049,2026,6451,PUC
2,880.0,771,6.2,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,10,id_5490554479049,2026,6451,UCH
3,880.0,771,6.2,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,10,id_5490554479049,2026,6451,USM
4,880.0,771,6.2,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE LOS ANDES,10,id_5490554479049,2026,6451,UANDES
5,880.0,771,6.2,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,10,id_5490554479049,2026,6451,UAI
1,975.0,956,6.85,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,10,id_5490554479057,2026,6452,PUC
2,975.0,956,6.85,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,10,id_5490554479057,2026,6452,UCH
1,807.0,928,6.75,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,10,id_5490554479091,2026,6453,PUC
2,807.0,928,6.75,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,10,id_5490554479091,2026,6453,UCH
3,807.0,928,6.75,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE LOS ANDES,10,id_5490554479091,2026,6453,UANDES
1,948.0,613,5.65,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,9,id_5490554579004,2026,6454,UAI
1,660.0,937,6.78,MASCULINO,OTRO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,99,id_5490554579042,2026,6455,UCH
1,1000.0,994,6.98,MASCULINO,PARTICULAR PAGADO,OTRA REGION,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,99,id_5490554579093,2026,6456,PUC
1,723.0,937,6.78,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,3,id_5490554679005,2026,6457,PUC
1,807.0,727,6.05,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,10,id_5490554779026,2026,6458,UAI
2,807.0,727,6.05,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DEL DESARROLLO,10,id_5490554779026,2026,6458,UDD
1,842.0,956,6.85,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,1,id_5490554779078,2026,6459,UCH
1,1000.0,1000,7.0,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,7,id_5490554879008,2026,6460,PUC
2,1000.0,1000,7.0,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,7,id_5490554879008,2026,6460,UCH
1,1000.0,886,6.6,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,99,id_5490554879057,2026,6461,PUC
1,948.0,722,6.03,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,9,id_5490554879085,2026,6462,UCH
1,672.0,865,6.53,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,99,id_5490554979065,2026,6463,UCH
2,672.0,865,6.53,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,99,id_5490554979065,2026,6463,USM
3,672.0,865,6.53,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,99,id_5490554979065,2026,6463,PUC
1,690.0,488,5.23,MASCULINO,PARTICULAR SUBVENCIONADO,OTRA REGION,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,6,id_5490554979082,2026,6464,USM
1,618.0,785,6.25,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,99,id_5490554979083,2026,6465,PUC
2,618.0,785,6.25,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,99,id_5490554979083,2026,6465,UCH
1,682.0,771,6.2,MASCULINO,PARTICULAR SUBVENCIONADO,OTRA REGION,UNIVERSIDAD DE CHILE,2,id_5491554079116,2026,6466,UCH
2,682.0,771,6.2,MASCULINO,PARTICULAR SUBVENCIONADO,OTRA REGION,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,2,id_5491554079116,2026,6466,PUC
3,682.0,771,6.2,MASCULINO,PARTICULAR SUBVENCIONADO,OTRA REGION,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,2,id_5491554079116,2026,6466,USM
1,710.0,542,5.4,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,1,id_5491554079131,2026,6467,UCH
1,682.0,727,6.05,FEMENINO,PARTICULAR PAGADO,OTRA REGION,UNIVERSIDAD DEL DESARROLLO,99,id_5491554179100,2026,6468,UDD
2,682.0,727,6.05,FEMENINO,PARTICULAR PAGADO,OTRA REGION,UNIVERSIDAD ADOLFO IBAÑEZ,99,id_5491554179100,2026,6468,UAI
1,880.0,643,5.75,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,99,id_5491554179175,2026,6469,UAI
2,880.0,643,5.75,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE LOS ANDES,99,id_5491554179175,2026,6469,UANDES
3,880.0,643,5.75,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DEL DESARROLLO,99,id_5491554179175,2026,6469,UDD
1,579.0,865,6.53,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,99,id_5491554279123,2026,6470,PUC
2,579.0,865,6.53,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,99,id_5491554279123,2026,6470,UCH
3,579.0,865,6.53,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,99,id_5491554279123,2026,6470,USM
4,579.0,865,6.53,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,99,id_5491554279123,2026,6470,UAI
5,579.0,865,6.53,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DEL DESARROLLO,99,id_5491554279123,2026,6470,UDD
6,579.0,865,6.53,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE LOS ANDES,99,id_5491554279123,2026,6470,UANDES
1,948.0,922,6.73,MASCULINO,PARTICULAR PAGADO,OTRA REGION,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,8,id_5491554279179,2026,6471,PUC
2,948.0,922,6.73,MASCULINO,PARTICULAR PAGADO,OTRA REGION,UNIVERSIDAD DE CHILE,8,id_5491554279179,2026,6471,UCH
3,948.0,922,6.73,MASCULINO,PARTICULAR PAGADO,OTRA REGION,UNIVERSIDAD ADOLFO IBAÑEZ,8,id_5491554279179,2026,6471,UAI
1,975.0,970,6.9,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,99,id_5491554379195,2026,6472,UCH
1,842.0,742,6.1,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,99,id_5491554479132,2026,6473,UAI
2,842.0,742,6.1,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,99,id_5491554479132,2026,6473,USM
3,842.0,742,6.1,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DEL DESARROLLO,99,id_5491554479132,2026,6473,UDD
4,842.0,742,6.1,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE LOS ANDES,99,id_5491554479132,2026,6473,UANDES
1,539.0,613,5.65,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DEL DESARROLLO,99,id_5491554479133,2026,6474,UDD
1,631.0,837,6.43,MASCULINO,PARTICULAR SUBVENCIONADO,OTRA REGION,UNIVERSIDAD ADOLFO IBAÑEZ,4,id_5491554579167,2026,6475,UAI
1,900.0,870,6.55,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,5,id_5491554679136,2026,6476,PUC
2,900.0,870,6.55,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,5,id_5491554679136,2026,6476,UCH
3,900.0,870,6.55,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,5,id_5491554679136,2026,6476,UAI
1,631.0,880,6.58,FEMENINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,1,id_5491554679161,2026,6477,UCH
2,631.0,880,6.58,FEMENINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,1,id_5491554679161,2026,6477,PUC
1,842.0,722,6.03,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,9,id_5491554779102,2026,6478,USM
2,842.0,722,6.03,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,9,id_5491554779102,2026,6478,UAI
1,975.0,865,6.53,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,10,id_5491554779131,2026,6479,PUC
2,975.0,865,6.53,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE LOS ANDES,10,id_5491554779131,2026,6479,UANDES
3,975.0,865,6.53,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,10,id_5491554779131,2026,6479,UCH
1,900.0,808,6.33,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,10,id_5491554779132,2026,6480,UCH
2,900.0,808,6.33,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE LOS ANDES,10,id_5491554779132,2026,6480,UANDES
3,900.0,808,6.33,FEMENINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,10,id_5491554779132,2026,6480,UAI
1,1000.0,842,6.45,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,99,id_5491554779185,2026,6481,PUC
2,1000.0,842,6.45,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,99,id_5491554779185,2026,6481,UCH
3,1000.0,842,6.45,MASCULINO,PARTICULAR PAGADO,SECTOR ORIENTE,UNIVERSIDAD DE LOS ANDES,99,id_5491554779185,2026,6481,UANDES
1,601.0,709,5.98,FEMENINO,MUNICIPAL,OTRA REGION,UNIVERSIDAD DE CHILE,99,id_5491554879110,2026,6482,UCH
1,861.0,823,6.38,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,99,id_5491554879117,2026,6483,UCH
2,861.0,823,6.38,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,99,id_5491554879117,2026,6483,USM
1,690.0,722,6.03,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,1,id_5491554879126,2026,6484,UCH
2,690.0,722,6.03,FEMENINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,1,id_5491554879126,2026,6484,UAI
1,948.0,914,6.7,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,10,id_5491554879137,2026,6485,PUC
2,948.0,914,6.7,MASCULINO,PARTICULAR PAGADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,10,id_5491554879137,2026,6485,UCH
1,710.0,752,6.13,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,1,id_5491554879184,2026,6486,USM
1,923.0,785,6.25,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,4,id_5491554979161,2026,6487,UCH
2,923.0,785,6.25,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,4,id_5491554979161,2026,6487,USM
3,923.0,785,6.25,MASCULINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,4,id_5491554979161,2026,6487,PUC
